product,title,rating,body
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,"5.0 out of 5 stars
Perfect for earrings",5.0,"My all earrings fit inside this. Now Its easy to manage 50 -60 earrings 🤣
Read more"
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,"4.0 out of 5 stars
Value of money",4.0,"Absolutely worth for buying in this rate
Read more"
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,"5.0 out of 5 stars
Tiny Spaces of Perfection",5.0,"This box is a dream come true for every jewellery (earrings in particular) lover. I can now store all my small and medium sized earrings safely and nothing will go missing ever again. Larger ones are difficult to contain (the ones placed on the lid). But that doesn't matter. Because this one box is a heavenly abode for my earrings. Thank you Amazon..❤️
Read more"
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,"5.0 out of 5 stars
Satisfied",5.0,"Good product and good quality for the price. Worth buying.
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"4.0 out of 5 stars
Very good product",4.0,"Boldfit luggage weighing scale is very useful and very good scale for weighing luggage. It is easy to use and very handy for traveller. It got very clear and bold display
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"5.0 out of 5 stars
Small, sturdy and does the job well!",5.0,"It is portable, fits well in the hands for weighing and the bright backlit screen shows the weight clearly. Happy with the product for a very reasonable cost.
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"5.0 out of 5 stars
Easy to use",5.0,"The equipment is amazing... Very accurate and extremely helpful and suggested for all those who travel frequently and end up paying thousands on the check in counter. Also very easy to use .
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"4.0 out of 5 stars
good product",4.0,"only problem is sometimes its on without turning it own, worried about battery durability. It uses a small cell battery
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"5.0 out of 5 stars
Very good product",5.0,"Boldfit Weight Scale is very useful and very good scale for weighing luggage etc. It is easy-to-use, has a big, bold and clear display and high accuracy. Definitely recommendable.
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"4.0 out of 5 stars
Good useful product",4.0,"Product quality is good. Very useful for weighing heavy bags. The long handle helps in lifting heavy bags.
Read more"
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"5.0 out of 5 stars
Very useful tool",5.0,"This is a very useful tool and has got lots of utility especially when you are about to travel and need to be mindful of weight of the luggage. The results are accurate. There are many functions that are also useful e.g. you can know the tare weight as well as net weight along with gross weight.The size is very compact and product is sturdy.
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"5.0 out of 5 stars
Good for kids",5.0,"Book contains good moral stories
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"4.0 out of 5 stars
Good book but the rate on Amazon is more than the actual MRP",4.0,"Good book with short stories but the rate on Amazon is Rs.90 while the actual MRP  written on the book is only Rs. 80.
Read more"
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,"5.0 out of 5 stars
Simple and easy understanding book for kids",5.0,"Short stories
Read more"
